num_closed_edges,max_in_degree,closed_edge_density,group_id,instance,nodes_indegree_gt_one,mean_in_degree,num_edges,algorithm,num_nodes,algorithm_right,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
2507,4,0.9539573820395738,n70,n70os0.95-5.rcp,49,1.917808219178082,140,MULTIFLOW,73,MULTIFLOW,25.0,1,48.0,48.0,0.0,7.193769,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-6.rcp,50,2.041095890410959,149,MULTIFLOW,73,MULTIFLOW,26.0,1,47.0,47.0,0.0,6.092659,0.0,2
2507,5,0.9539573820395738,n70,n70os0.95-7.rcp,47,1.9726027397260273,144,MULTIFLOW,73,MULTIFLOW,25.0,1,48.0,48.0,0.0,18.824243,0.0,2
2507,5,0.9539573820395738,n70,n70os0.95-8.rcp,44,1.8904109589041096,138,MULTIFLOW,73,MULTIFLOW,25.0,149,48.0,48.0,0.0,20.593859,0.0,2
2507,4,0.9539573820395738,n70,n70os0.95-9.rcp,48,1.904109589041096,139,MULTIFLOW,73,MULTIFLOW,24.0,1,49.0,49.0,0.0,6.083503,0.0,2
696,18,0.2648401826484018,n70,n70os0.2-1.rcp,36,4.6438356164383565,339,FEASIBILITY,73,,,,,,,,,
696,20,0.2648401826484018,n70,n70os0.2-10.rcp,37,5.068493150684931,370,FEASIBILITY,73,,,,,,,,,
696,20,0.2648401826484018,n70,n70os0.2-2.rcp,37,5.123287671232877,374,FEASIBILITY,73,,,,,,,,,
696,29,0.2648401826484018,n70,n70os0.2-3.rcp,41,5.698630136986301,416,FEASIBILITY,73,,,,,,,,,
696,27,0.2648401826484018,n70,n70os0.2-4.rcp,43,5.013698630136986,366,FEASIBILITY,73,,,,,,,,,
696,23,0.2648401826484018,n70,n70os0.2-5.rcp,40,5.315068493150685,388,FEASIBILITY,73,,,,,,,,,
696,21,0.2648401826484018,n70,n70os0.2-6.rcp,39,5.1506849315068495,376,FEASIBILITY,73,,,,,,,,,
696,23,0.2648401826484018,n70,n70os0.2-7.rcp,39,5.260273972602739,384,FEASIBILITY,73,,,,,,,,,
696,25,0.2648401826484018,n70,n70os0.2-8.rcp,42,4.890410958904109,357,FEASIBILITY,73,,,,,,,,,
696,21,0.2648401826484018,n70,n70os0.2-9.rcp,42,4.8493150684931505,354,FEASIBILITY,73,,,,,,,,,
1420,13,0.5403348554033486,n70,n70os0.5-1.rcp,55,5.671232876712328,414,FEASIBILITY,73,,,,,,,,,
1420,13,0.5403348554033486,n70,n70os0.5-10.rcp,54,5.561643835616438,406,FEASIBILITY,73,,,,,,,,,
1420,14,0.5403348554033486,n70,n70os0.5-2.rcp,52,5.424657534246576,396,FEASIBILITY,73,,,,,,,,,
1420,14,0.5403348554033486,n70,n70os0.5-3.rcp,51,5.424657534246576,396,FEASIBILITY,73,,,,,,,,,
1420,13,0.5403348554033486,n70,n70os0.5-4.rcp,50,5.767123287671233,421,FEASIBILITY,73,,,,,,,,,
1420,13,0.5403348554033486,n70,n70os0.5-5.rcp,57,4.890410958904109,357,FEASIBILITY,73,,,,,,,,,
1420,15,0.5403348554033486,n70,n70os0.5-6.rcp,53,5.808219178082192,424,FEASIBILITY,73,,,,,,,,,
1420,13,0.5403348554033486,n70,n70os0.5-7.rcp,52,5.438356164383562,397,FEASIBILITY,73,,,,,,,,,
1420,15,0.5403348554033486,n70,n70os0.5-8.rcp,52,5.52054794520548,403,FEASIBILITY,73,,,,,,,,,
1420,12,0.5403348554033486,n70,n70os0.5-9.rcp,54,5.301369863013699,387,FEASIBILITY,73,,,,,,,,,
1903,10,0.724124809741248,n70,n70os0.7-1.rcp,57,4.575342465753424,334,FEASIBILITY,73,,,,,,,,,
1903,10,0.724124809741248,n70,n70os0.7-10.rcp,62,4.410958904109589,322,FEASIBILITY,73,,,,,,,,,
1903,9,0.724124809741248,n70,n70os0.7-2.rcp,60,4.3561643835616435,318,FEASIBILITY,73,,,,,,,,,
1903,11,0.724124809741248,n70,n70os0.7-3.rcp,60,4.397260273972603,321,FEASIBILITY,73,,,,,,,,,
1903,11,0.724124809741248,n70,n70os0.7-4.rcp,59,4.232876712328767,309,FEASIBILITY,73,,,,,,,,,
1903,8,0.724124809741248,n70,n70os0.7-5.rcp,59,4.136986301369863,302,FEASIBILITY,73,,,,,,,,,
1903,9,0.724124809741248,n70,n70os0.7-6.rcp,58,4.205479452054795,307,FEASIBILITY,73,,,,,,,,,
1903,9,0.724124809741248,n70,n70os0.7-7.rcp,57,4.575342465753424,334,FEASIBILITY,73,,,,,,,,,
1903,10,0.724124809741248,n70,n70os0.7-8.rcp,57,4.178082191780822,305,FEASIBILITY,73,,,,,,,,,
1903,9,0.724124809741248,n70,n70os0.7-9.rcp,61,4.219178082191781,308,FEASIBILITY,73,,,,,,,,,
2145,7,0.8162100456621004,n70,n70os0.8-1.rcp,55,3.191780821917808,233,FEASIBILITY,73,,,,,,,,,
2145,7,0.8162100456621004,n70,n70os0.8-10.rcp,62,3.4657534246575343,253,FEASIBILITY,73,,,,,,,,,
2145,8,0.8162100456621004,n70,n70os0.8-2.rcp,61,3.6575342465753424,267,FEASIBILITY,73,,,,,,,,,
2145,7,0.8162100456621004,n70,n70os0.8-3.rcp,60,3.452054794520548,252,FEASIBILITY,73,,,,,,,,,
2145,8,0.8162100456621004,n70,n70os0.8-4.rcp,60,3.835616438356164,280,FEASIBILITY,73,MULTIFLOW,32.0,2471,41.0,47.0,0.0,18001.198762,0.0,9
